customer_id,age,generation,gender
1,74,Boomer,Male
2,57,Gen X,Female
3,57,Gen X,Male
4,61,Boomer,Female
5,45,Gen X,Male
6,23,Gen Z,Male
7,55,Gen X,Male
8,25,Gen Z,Male
9,26,Gen Z,Male
10,38,Millennial,Male
11,27,Millennial,Female
12,25,Gen Z,Male
13,27,Millennial,Male
14,26,Gen Z,Male
15,40,Millennial,Male
16,32,Millennial,Female
17,34,Millennial,Male
18,34,Millennial,Male
19,33,Millennial,Male
20,38,Millennial,Male
21,51,Gen X,Male
22,24,Gen Z,Female
23,21,Gen Z,Male
24,26,Gen Z,Female
25,24,Gen Z,Male
26,50,Gen X,Male
27,24,Gen Z,Male
28,30,Millennial,Male
29,33,Millennial,Male
30,38,Millennial,Female
31,49,Gen X,Female
32,31,Millennial,Female
33,26,Gen Z,Male
34,50,Gen X,Male
35,34,Millennial,Male
36,55,Gen X,Female
37,21,Gen Z,Male
38,28,Millennial,Male
39,39,Millennial,Male
40,28,Millennial,Female
41,31,Millennial,Male
42,50,Gen X,Male
43,48,Gen X,Male
44,24,Gen Z,Female
45,27,Millennial,Female
46,33,Millennial,Male
47,22,Gen Z,Male
48,40,Millennial,Female
49,37,Millennial,Male
50,48,Gen X,Male
51,21,Gen Z,Female
52,23,Gen Z,Male
53,42,Millennial,Female
54,24,Gen Z,Male
55,45,Gen X,Male
56,38,Millennial,Male
57,30,Millennial,Male
58,51,Gen X,Male
59,22,Gen Z,Female
60,66,Boomer,Female
61,21,Gen Z,Female
62,31,Millennial,Male
63,71,Boomer,Male
64,52,Gen X,Male
65,52,Gen X,Female
66,40,Millennial,Female
67,47,Gen X,Female
68,29,Millennial,Male
69,22,Gen Z,Male
70,67,Boomer,Male
71,48,Gen X,Male
72,43,Gen X,Male
73,25,Gen Z,Female
74,32,Millennial,Male
75,30,Millennial,Male
76,24,Gen Z,Female
77,33,Millennial,Male
78,26,Gen Z,Male
79,53,Gen X,Male
80,46,Gen X,Female
